name,Assist/Turnover Ratio,Assists Per Game,Bench Points per game,Blocks Per Game,Effective FG pct,Fastbreak Points,Field Goal Percentage,Field Goal Percentage Defense,Fouls Per Game,Free Throw Attempts Per Game,Free Throw Percentage,Free Throws Made Per Game,Rebound Margin,Rebounds (Defensive) Per Game,Rebounds (Offensive) Per Game,Rebounds Per Game,Scoring Defense,Scoring Margin,Scoring Offense,Steals Per Game,Three Point Attempts Per Game,Three Point Percentage,Three Point Percentage Defense,Three Pointers Per Game,Turnover Margin,Turnovers Forced Per Game,Turnovers Per Game,Winning Percentage
Arizona,1.55,18.6,23.18,3.5,.550,16.42,71.87,42.289,5,23.7,71.87,17.0,10,29.39,13.24,42.64,72.2,15,87.9,8.3,21.1,37.12,33.4,7.8,1.5,13.52,12.0,75.8
Col. of Charleston,1.54,15.3,30.03,3.1,.524,9.18,72.03,44.006,3,17.6,72.03,12.6,4,26.76,12.94,39.71,72.5,7,80.5,6.2,30.6,34.46,33.6,10.5,1.6,11.56,9.9,79.4
McNeese,1.54,15.0,25.76,3.4,.558,13.70,69.15,38.496,13,22.0,69.15,15.2,3,24.97,11.15,36.12,61.5,18,80.4,10.4,19.7,38.83,31.4,7.6,6.7,16.45,9.8,90.9
La Salle,1.53,14.7,16.00,3.3,.499,9.36,72.31,44.593,11,15.2,72.31,11.0,-2,24.42,10.18,34.61,73.1,0,72.7,6.3,24.6,34.65,35.2,8.5,1.2,10.82,9.6,48.5
Richmond,1.53,13.2,12.58,2.9,.527,7.42,73.18,40.528,4,15.8,73.18,11.6,-4,27.06,5.70,32.76,66.3,5,71.9,6.7,20.2,36.23,31.4,7.3,2.9,11.55,8.6,69.7
James Madison,1.52,16.4,24.09,3.0,.549,11.00,70.75,41.341,10,21.1,70.75,14.9,5,27.26,11.59,38.85,69.2,15,84.4,9.0,24.0,36.47,28.8,8.8,3.7,14.44,10.8,91.2
South Carolina,1.52,15.4,18.03,3.2,.508,5.06,71.38,42.712,4,18.4,71.38,13.2,3,24.39,11.48,35.88,67.0,5,72.0,4.8,23.8,33.50,33.6,8.0,-0.3,9.76,10.1,78.8
Pittsburgh,1.52,13.7,19.00,4.5,.516,9.79,70.82,43.074,7,18.5,70.82,13.1,3,25.67,11.39,37.06,67.6,7,75.6,6.3,26.9,35.74,30.8,9.6,2.1,11.09,9.0,66.7
Liberty,1.52,15.9,20.03,2.3,.555,6.44,66.10,43.810,5,14.8,66.10,9.8,1,25.25,8.72,33.97,65.5,8,73.8,5.2,27.5,36.82,31.3,10.1,1.2,11.62,10.4,56.2
Nevada,1.51,15.1,16.97,3.6,.536,7.73,72.13,41.739,9,24.8,72.13,17.9,1,25.55,8.91,34.45,67.1,9,76.4,6.2,18.3,36.48,31.8,6.7,1.9,11.91,10.0,78.8
Vermont,1.50,13.7,23.18,3.9,.533,5.97,72.01,40.578,1,16.5,72.01,11.9,1,27.18,7.71,34.88,63.0,9,72.3,5.8,25.2,34.38,31.4,8.7,.9,10.06,9.1,82.4
Utah,1.50,17.4,19.18,4.3,.539,9.18,65.00,42.347,5,17.1,65.00,11.1,2,28.76,10.15,38.91,72.7,5,78.2,5.9,24.7,36.07,34.0,8.9,-1.4,10.21,11.6,58.8
Indiana St.,1.50,17.6,12.54,1.8,.601,10.20,79.97,43.366,8,19.4,79.97,15.5,3,28.54,7.17,35.71,72.6,12,84.9,6.1,28.4,38.47,33.1,10.9,-0.6,11.20,11.8,82.9
